NAME                                      READY   STATUS             RESTARTS   AGE
trisla-bc-nssmf-cb869b895-krxf9           1/1     Running            0          12m
trisla-besu-8c4979c76-mjzq2               1/1     Running            0          12m
trisla-decision-engine-7d466f9f69-j4nwt   1/1     Running            0          12m
trisla-ml-nsmf-779d6cc88b-pkwlf           1/1     Running            0          12m
trisla-nasp-adapter-74cd854849-fq5hf      1/1     Running            0          12m
trisla-sla-agent-layer-6b65566595-4pr8k   1/1     Running            0          12m
trisla-trisla-besu-979b7df9d-vjmjk        0/1     ImagePullBackOff   0          12m
trisla-ui-dashboard-dfb9ff9cc-f5qsr       1/1     Running            0          12m
