correlation_id,scenario_id,sla_index,start_ts_ms,end_ts_ms,end_to_end_latency_ms,success,http_code,decision_type,error
C2.1-3-d3d43c92,C2.1,3,1766781396359,1766781396712,353,True,200,RENEG,
C2.1-1-fed9feec,C2.1,1,1766781396358,1766781396716,358,True,200,RENEG,
C2.1-2-675dcff4,C2.1,2,1766781396358,1766781396719,361,True,200,RENEG,
