correlation_id,scenario_id,sla_index,start_ts_ms,end_ts_ms,end_to_end_latency_ms,success,http_code,decision_type,error
C2.2-4-3c4caad2,C2.2,4,1766781396724,1766781397415,691,True,200,RENEG,
C2.2-6-497d009e,C2.2,6,1766781396727,1766781397468,741,True,200,RENEG,
C2.2-5-25551b80,C2.2,5,1766781396726,1766781397469,743,True,200,RENEG,
C2.2-1-778cf7bc,C2.2,1,1766781396721,1766781397470,749,True,200,RENEG,
C2.2-2-33676e88,C2.2,2,1766781396722,1766781397471,749,True,200,RENEG,
C2.2-3-4ca22a31,C2.2,3,1766781396723,1766781397470,747,True,200,RENEG,
