NAME                     READY   UP-TO-DATE   AVAILABLE   AGE
trisla-bc-nssmf          1/1     1            1           45h
trisla-besu              1/1     1            1           41m
trisla-decision-engine   1/1     1            1           45h
trisla-ml-nsmf           1/1     1            1           45h
trisla-nasp-adapter      1/1     1            1           45h
trisla-portal-backend    1/1     1            1           21h
trisla-portal-frontend   1/1     1            1           21h
trisla-sla-agent-layer   1/1     1            1           45h
trisla-ui-dashboard      1/1     1            1           45h
