LAST SEEN   TYPE      REASON                  OBJECT                                   MESSAGE
38m         Normal    ScalingReplicaSet       deployment/trisla-besu                   Scaled down replica set trisla-besu-79bd76f49d to 0 from 1
38m         Normal    ScalingReplicaSet       deployment/trisla-besu                   Scaled up replica set trisla-besu-6db76bff8c to 1
38m         Normal    SuccessfulDelete        replicaset/trisla-besu-79bd76f49d        Deleted pod: trisla-besu-79bd76f49d-xrplf
38m         Normal    Scheduled               pod/trisla-besu-76776f744c-fps45         Successfully assigned trisla/trisla-besu-76776f744c-fps45 to node2
38m         Normal    SuccessfulCreate        replicaset/trisla-besu-76776f744c        Created pod: trisla-besu-76776f744c-fps45
31m         Warning   Unhealthy               pod/trisla-besu-76776f744c-fps45         Readiness probe failed: /bin/sh: 1: curl: not found
26m         Warning   BackOff                 pod/trisla-besu-6db76bff8c-gjhnw         Back-off restarting failed container trisla-besu in pod trisla-besu-6db76bff8c-gjhnw_trisla(086d1e39-0c95-402f-89ae-03558c396418)
21m         Warning   BackOff                 pod/trisla-besu-76776f744c-fps45         Back-off restarting failed container trisla-besu in pod trisla-besu-76776f744c-fps45_trisla(9e16eb5c-d8af-40ef-97a6-3366b1d1d32b)
20m         Normal    AddedInterface          pod/curl-rpc-test                        Add eth0 [10.233.75.35/32] from k8s-pod-network
20m         Normal    Started                 pod/curl-rpc-test                        Started container curl-rpc-test
20m         Normal    Pulled                  pod/curl-rpc-test                        Container image "curlimages/curl:8.5.0" already present on machine
20m         Normal    Created                 pod/curl-rpc-test                        Created container curl-rpc-test
19m         Normal    AddedInterface          pod/trisla-besu-76776f744c-vgj5p         Add eth0 [10.233.75.14/32] from k8s-pod-network
19m         Normal    Created                 pod/curl-submit-sla                      Created container curl-submit-sla
19m         Normal    Pulled                  pod/curl-submit-sla                      Container image "curlimages/curl:8.5.0" already present on machine
19m         Normal    AddedInterface          pod/curl-submit-sla                      Add eth0 [10.233.75.45/32] from k8s-pod-network
19m         Normal    Started                 pod/curl-submit-sla                      Started container curl-submit-sla
19m         Normal    AddedInterface          pod/curl-final-test                      Add eth0 [10.233.75.62/32] from k8s-pod-network
19m         Normal    Pulled                  pod/curl-final-test                      Container image "curlimages/curl:8.5.0" already present on machine
19m         Normal    Created                 pod/curl-final-test                      Created container curl-final-test
18m         Normal    Started                 pod/curl-final-test                      Started container curl-final-test
17m         Normal    Pulled                  pod/trisla-besu-76776f744c-vgj5p         Container image "ghcr.io/abelisboa/trisla-besu:v3.7.11" already present on machine
17m         Normal    Started                 pod/trisla-besu-76776f744c-vgj5p         Started container trisla-besu
17m         Normal    Created                 pod/trisla-besu-76776f744c-vgj5p         Created container trisla-besu
17m         Normal    Scheduled               pod/curl-rpc-test                        Successfully assigned trisla/curl-rpc-test to node2
16m         Normal    Scheduled               pod/trisla-besu-76776f744c-vgj5p         Successfully assigned trisla/trisla-besu-76776f744c-vgj5p to node2
16m         Normal    SuccessfulCreate        replicaset/trisla-besu-76776f744c        Created pod: trisla-besu-76776f744c-vgj5p
16m         Normal    Scheduled               pod/curl-submit-sla                      Successfully assigned trisla/curl-submit-sla to node2
16m         Normal    Scheduled               pod/curl-final-test                      Successfully assigned trisla/curl-final-test to node2
4m27s       Warning   BackOff                 pod/trisla-besu-76776f744c-vgj5p         Back-off restarting failed container trisla-besu in pod trisla-besu-76776f744c-vgj5p_trisla(23fd6ff2-9770-489b-b05e-6095b12119b8)
