LAST SEEN   TYPE      REASON                            OBJECT                                          MESSAGE
13m         Normal    Pulled                            pod/trisla-sla-agent-layer-6b65566595-fb7l2     Container image "ghcr.io/abelisboa/trisla-sla-agent-layer:nasp-a2" already present on machine
13m         Normal    Created                           pod/trisla-sla-agent-layer-6b65566595-fb7l2     Created container sla-agent-layer
13m         Normal    Started                           pod/trisla-sla-agent-layer-6b65566595-fb7l2     Started container sla-agent-layer
13m         Normal    SuccessfulCreate                  replicaset/trisla-sla-agent-layer-6b65566595    Created pod: trisla-sla-agent-layer-6b65566595-fb7l2
13m         Normal    ScalingReplicaSet                 deployment/trisla-sla-agent-layer               Scaled up replica set trisla-sla-agent-layer-6b65566595 to 1
16m         Normal    AddedInterface                    pod/trisla-trisla-besu-979b7df9d-g5hgb          Add eth0 [10.233.75.39/32] from k8s-pod-network
14m         Normal    Pulling                           pod/trisla-trisla-besu-979b7df9d-g5hgb          Pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
14m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-g5hgb          Failed to pull image "ghcr.io/abelisboa/trisla-besu:23.10.1": rpc error: code = NotFound desc = failed to pull and unpack image "ghcr.io/abelisboa/trisla-besu:23.10.1": failed to resolve reference "ghcr.io/abelisboa/trisla-besu:23.10.1": ghcr.io/abelisboa/trisla-besu:23.10.1: not found
14m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-g5hgb          Error: ErrImagePull
6m3s        Normal    BackOff                           pod/trisla-trisla-besu-979b7df9d-g5hgb          Back-off pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
14m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-g5hgb          Error: ImagePullBackOff
13m         Normal    Scheduled                         pod/trisla-trisla-besu-979b7df9d-g5hgb          Successfully assigned trisla/trisla-trisla-besu-979b7df9d-g5hgb to node2
13m         Normal    SuccessfulCreate                  replicaset/trisla-trisla-besu-979b7df9d         Created pod: trisla-trisla-besu-979b7df9d-g5hgb
16m         Normal    Provisioning                      persistentvolumeclaim/trisla-trisla-besu-data   External provisioner is provisioning volume for claim "trisla/trisla-trisla-besu-data"
16m         Normal    ProvisioningSucceeded             persistentvolumeclaim/trisla-trisla-besu-data   Successfully provisioned volume pvc-a14c2d1b-5b14-492e-83ce-269827b90ed2
13m         Normal    ExternalProvisioning              persistentvolumeclaim/trisla-trisla-besu-data   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
13m         Normal    ScalingReplicaSet                 deployment/trisla-trisla-besu                   Scaled up replica set trisla-trisla-besu-979b7df9d to 1
13m         Normal    Scheduled                         pod/trisla-ui-dashboard-dfb9ff9cc-kvf77         Successfully assigned trisla/trisla-ui-dashboard-dfb9ff9cc-kvf77 to node1
38s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ui-dashboard-dfb9ff9cc-kvf77         Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
13m         Normal    AddedInterface                    pod/trisla-ui-dashboard-dfb9ff9cc-kvf77         Add eth0 [10.233.102.186/32] from k8s-pod-network
13m         Normal    Pulled                            pod/trisla-ui-dashboard-dfb9ff9cc-kvf77         Container image "ghcr.io/abelisboa/trisla-ui-dashboard:nasp-a2" already present on machine
13m         Normal    Created                           pod/trisla-ui-dashboard-dfb9ff9cc-kvf77         Created container ui-dashboard
13m         Normal    Started                           pod/trisla-ui-dashboard-dfb9ff9cc-kvf77         Started container ui-dashboard
13m         Normal    SuccessfulCreate                  replicaset/trisla-ui-dashboard-dfb9ff9cc        Created pod: trisla-ui-dashboard-dfb9ff9cc-kvf77
13m         Normal    ScalingReplicaSet                 deployment/trisla-ui-dashboard                  Scaled up replica set trisla-ui-dashboard-dfb9ff9cc to 1
