LAST SEEN   TYPE      REASON                            OBJECT                                         MESSAGE
46m         Warning   Unhealthy                         pod/trisla-bc-nssmf-6bf4ffb4b5-ffvkg           Readiness probe failed: Get "http://10.233.102.153:8083/health": dial tcp 10.233.102.153:8083: connect: connection refused
36m         Normal    AddedInterface                    pod/trisla-besu-5d69b55674-smgnv               Add eth0 [10.233.75.17/32] from k8s-pod-network
36m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-6bf4ffb4b5-ffvkg           Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
35m         Normal    Started                           pod/trisla-besu-5d69b55674-smgnv               Started container besu
34m         Normal    Created                           pod/trisla-besu-5d69b55674-smgnv               Created container besu
34m         Normal    Pulled                            pod/trisla-besu-5d69b55674-smgnv               Container image "ghcr.io/abelisboa/trisla-besu:v3.7.16" already present on machine
33m         Normal    ExternalProvisioning              persistentvolumeclaim/trisla-besu-data         Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
33m         Normal    SuccessfulCreate                  replicaset/trisla-besu-5d69b55674              Created pod: trisla-besu-5d69b55674-smgnv
33m         Normal    SuccessfulDelete                  replicaset/trisla-bc-nssmf-6bf4ffb4b5          Deleted pod: trisla-bc-nssmf-6bf4ffb4b5-ffvkg
33m         Normal    ScalingReplicaSet                 deployment/trisla-besu                         Scaled up replica set trisla-besu-5d69b55674 to 1
33m         Normal    ProvisioningSucceeded             persistentvolumeclaim/trisla-besu-data         Successfully provisioned volume pvc-289a6c75-bbb3-40c8-b688-4bbf40e81660
33m         Normal    Provisioning                      persistentvolumeclaim/trisla-besu-data         External provisioner is provisioning volume for claim "trisla/trisla-besu-data"
33m         Normal    SuccessfulCreate                  replicaset/trisla-bc-nssmf-856859f696          Created pod: trisla-bc-nssmf-856859f696-dwpzw
33m         Warning   FailedScheduling                  pod/trisla-besu-5d69b55674-smgnv               0/2 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
33m         Normal    ScalingReplicaSet                 deployment/trisla-bc-nssmf                     Scaled down replica set trisla-bc-nssmf-6bf4ffb4b5 to 0 from 1
33m         Normal    ScalingReplicaSet                 deployment/trisla-bc-nssmf                     Scaled up replica set trisla-bc-nssmf-856859f696 to 1 from 0
33m         Normal    Scheduled                         pod/trisla-bc-nssmf-856859f696-dwpzw           Successfully assigned trisla/trisla-bc-nssmf-856859f696-dwpzw to node1
33m         Normal    AddedInterface                    pod/trisla-bc-nssmf-856859f696-dwpzw           Add eth0 [10.233.102.168/32] from k8s-pod-network
33m         Normal    Scheduled                         pod/trisla-besu-5d69b55674-smgnv               Successfully assigned trisla/trisla-besu-5d69b55674-smgnv to node2
33m         Normal    Pulled                            pod/trisla-bc-nssmf-856859f696-dwpzw           Successfully pulled image "ghcr.io/abelisboa/trisla-besu:v3.7.29" in 516ms (516ms including waiting). Image size: 338571986 bytes.
33m         Normal    Created                           pod/trisla-bc-nssmf-856859f696-dwpzw           Created container bc-nssmf
33m         Normal    Started                           pod/trisla-bc-nssmf-856859f696-dwpzw           Started container bc-nssmf
32m         Normal    Killing                           pod/trisla-bc-nssmf-856859f696-dwpzw           Container bc-nssmf failed liveness probe, will be restarted
32m         Normal    Pulling                           pod/trisla-bc-nssmf-856859f696-dwpzw           Pulling image "ghcr.io/abelisboa/trisla-besu:v3.7.29"
32m         Normal    Pulled                            pod/trisla-bc-nssmf-856859f696-dwpzw           Successfully pulled image "ghcr.io/abelisboa/trisla-besu:v3.7.29" in 513ms (513ms including waiting). Image size: 338571986 bytes.
28m         Warning   Unhealthy                         pod/trisla-bc-nssmf-856859f696-dwpzw           Liveness probe failed: Get "http://10.233.102.168:8083/health": dial tcp 10.233.102.168:8083: connect: connection refused
21m         Warning   BackOff                           pod/trisla-besu-5d69b55674-smgnv               Back-off restarting failed container besu in pod trisla-besu-5d69b55674-smgnv_trisla(925ebb10-0f2c-435b-a7b5-b4ad9015a16a)
20m         Normal    AddedInterface                    pod/trisla-besu-5d9454c8f8-gf8c7               Add eth0 [10.233.75.24/32] from k8s-pod-network
20m         Normal    Pulled                            pod/trisla-besu-5d9454c8f8-gf8c7               Container image "ghcr.io/abelisboa/trisla-besu:v3.7.16" already present on machine
