LAST SEEN   TYPE      REASON                            OBJECT                                          MESSAGE
44m         Normal    ProvisioningSucceeded             persistentvolumeclaim/trisla-besu-data          Successfully provisioned volume pvc-ddd2372b-55d5-40a8-8e9f-52b5872f971c
44m         Normal    Provisioning                      persistentvolumeclaim/trisla-besu-data          External provisioner is provisioning volume for claim "trisla/trisla-besu-data"
44m         Normal    ProvisioningSucceeded             persistentvolumeclaim/trisla-trisla-besu-data   Successfully provisioned volume pvc-204a0ad4-c6b7-40af-976c-780698563f6c
44m         Normal    Provisioning                      persistentvolumeclaim/trisla-trisla-besu-data   External provisioner is provisioning volume for claim "trisla/trisla-trisla-besu-data"
43m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-6bhjv          Error: ErrImagePull
44m         Normal    Pulled                            pod/trisla-besu-5548f6498d-scbxq                Container image "ghcr.io/abelisboa/trisla-besu:v3.7.16" already present on machine
43m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-6bhjv          Failed to pull image "ghcr.io/abelisboa/trisla-besu:23.10.1": rpc error: code = NotFound desc = failed to pull and unpack image "ghcr.io/abelisboa/trisla-besu:23.10.1": failed to resolve reference "ghcr.io/abelisboa/trisla-besu:23.10.1": ghcr.io/abelisboa/trisla-besu:23.10.1: not found
43m         Normal    Pulling                           pod/trisla-trisla-besu-979b7df9d-6bhjv          Pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
44m         Normal    AddedInterface                    pod/trisla-trisla-besu-979b7df9d-6bhjv          Add eth0 [10.233.75.32/32] from k8s-pod-network
41m         Normal    AddedInterface                    pod/trisla-decision-engine-7d466f9f69-mvq6d     Add eth0 [10.233.102.179/32] from k8s-pod-network
41m         Normal    AddedInterface                    pod/trisla-ui-dashboard-dfb9ff9cc-csdd6         Add eth0 [10.233.102.165/32] from k8s-pod-network
44m         Normal    Started                           pod/trisla-besu-5548f6498d-scbxq                Started container besu
44m         Normal    Created                           pod/trisla-besu-5548f6498d-scbxq                Created container besu
4m28s       Normal    BackOff                           pod/trisla-trisla-besu-979b7df9d-6bhjv          Back-off pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
42m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-6bhjv          Error: ImagePullBackOff
41m         Normal    Pulled                            pod/trisla-ml-nsmf-779d6cc88b-bxnc8             Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.14" already present on machine
41m         Normal    ExternalProvisioning              persistentvolumeclaim/trisla-trisla-besu-data   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
41m         Normal    SuccessfulCreate                  replicaset/trisla-bc-nssmf-866ddbf476           Created pod: trisla-bc-nssmf-866ddbf476-7kqj8
41m         Normal    ScalingReplicaSet                 deployment/trisla-bc-nssmf                      Scaled up replica set trisla-bc-nssmf-866ddbf476 to 1
41m         Normal    ScalingReplicaSet                 deployment/trisla-ui-dashboard                  Scaled up replica set trisla-ui-dashboard-dfb9ff9cc to 1
41m         Normal    SuccessfulCreate                  replicaset/trisla-ui-dashboard-dfb9ff9cc        Created pod: trisla-ui-dashboard-dfb9ff9cc-csdd6
65s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ui-dashboard-dfb9ff9cc-csdd6         Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
41m         Normal    Scheduled                         pod/trisla-ui-dashboard-dfb9ff9cc-csdd6         Successfully assigned trisla/trisla-ui-dashboard-dfb9ff9cc-csdd6 to node1
41m         Normal    Scheduled                         pod/trisla-besu-5548f6498d-scbxq                Successfully assigned trisla/trisla-besu-5548f6498d-scbxq to node2
41m         Normal    SuccessfulCreate                  replicaset/trisla-besu-5548f6498d               Created pod: trisla-besu-5548f6498d-scbxq
41m         Normal    ScalingReplicaSet                 deployment/trisla-trisla-besu                   Scaled up replica set trisla-trisla-besu-979b7df9d to 1
96s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-866ddbf476-7kqj8            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
41m         Normal    ExternalProvisioning              persistentvolumeclaim/trisla-besu-data          Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
41m         Normal    ScalingReplicaSet                 deployment/trisla-besu                          Scaled up replica set trisla-besu-5548f6498d to 1
41m         Normal    Scheduled                         pod/trisla-decision-engine-7d466f9f69-mvq6d     Successfully assigned trisla/trisla-decision-engine-7d466f9f69-mvq6d to node1
75s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-7d466f9f69-mvq6d     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
