NAME                     TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                       AGE
trisla-bc-nssmf          ClusterIP   10.233.17.236   <none>        8083/TCP                      14m
trisla-besu              ClusterIP   10.233.51.136   <none>        8545/TCP,8546/TCP,30303/TCP   14m
trisla-decision-engine   ClusterIP   10.233.19.225   <none>        8082/TCP                      14m
trisla-ml-nsmf           ClusterIP   10.233.40.173   <none>        8081/TCP                      14m
trisla-nasp-adapter      ClusterIP   10.233.59.239   <none>        8085/TCP                      14m
trisla-sem-csmf          ClusterIP   10.233.47.108   <none>        8080/TCP                      14m
trisla-sla-agent-layer   ClusterIP   10.233.13.2     <none>        8084/TCP                      14m
trisla-trisla-besu       ClusterIP   10.233.46.63    <none>        8545/TCP,8546/TCP,30303/TCP   14m
trisla-ui-dashboard      ClusterIP   10.233.22.62    <none>        80/TCP                        14m
