NAME                     TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                       AGE
trisla-bc-nssmf          ClusterIP   10.233.46.15    <none>        8083/TCP                      36m
trisla-besu              ClusterIP   10.233.45.104   <none>        8545/TCP,8546/TCP,30303/TCP   36m
trisla-decision-engine   ClusterIP   10.233.58.216   <none>        8082/TCP                      36m
trisla-ml-nsmf           ClusterIP   10.233.60.0     <none>        8081/TCP                      36m
trisla-nasp-adapter      ClusterIP   10.233.47.149   <none>        8085/TCP                      36m
trisla-sem-csmf          ClusterIP   10.233.7.83     <none>        8080/TCP                      36m
trisla-sla-agent-layer   ClusterIP   10.233.35.211   <none>        8084/TCP                      36m
trisla-trisla-besu       ClusterIP   10.233.42.244   <none>        8545/TCP,8546/TCP,30303/TCP   36m
trisla-ui-dashboard      ClusterIP   10.233.31.195   <none>        80/TCP                        36m
