LAST SEEN   TYPE      REASON                            OBJECT                                         MESSAGE
59m         Normal    Started                           pod/trisla-decision-engine-6fbb96f6bf-pkwpt    Started container decision-engine
56m         Normal    AddedInterface                    pod/trisla-decision-engine-758f674d75-56kph    Add eth0 [10.233.102.183/32] from k8s-pod-network
59m         Normal    Killing                           pod/trisla-decision-engine-77f5cf8477-8p7s4    Stopping container decision-engine
59m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-77f5cf8477   Deleted pod: trisla-decision-engine-77f5cf8477-8p7s4
59m         Normal    Scheduled                         pod/curltest-decision3                         Successfully assigned trisla/curltest-decision3 to node2
62m         Normal    AddedInterface                    pod/curltest-decision3                         Add eth0 [10.233.75.13/32] from k8s-pod-network
59m         Normal    Pulling                           pod/curltest-decision-final                    Pulling image "curlimages/curl"
59m         Normal    Created                           pod/curltest-decision-final                    Created container curltest-decision-final
59m         Normal    Pulled                            pod/curltest-decision-final                    Successfully pulled image "curlimages/curl" in 1.718s (1.718s including waiting). Image size: 10767170 bytes.
59m         Normal    Started                           pod/curltest-decision-final                    Started container curltest-decision-final
61m         Normal    AddedInterface                    pod/curltest-decision4                         Add eth0 [10.233.75.5/32] from k8s-pod-network
58m         Normal    Scheduled                         pod/curltest-decision4                         Successfully assigned trisla/curltest-decision4 to node2
58m         Normal    Pulling                           pod/curltest-final2                            Pulling image "curlimages/curl"
58m         Normal    Pulled                            pod/curltest-final2                            Successfully pulled image "curlimages/curl" in 1.588s (1.588s including waiting). Image size: 10767170 bytes.
58m         Normal    Created                           pod/curltest-final2                            Created container curltest-final2
58m         Normal    Started                           pod/curltest-final2                            Started container curltest-final2
58m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-54899977bc   Created pod: trisla-decision-engine-54899977bc-8pfx8
58m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled up replica set trisla-decision-engine-54899977bc to 1
