NAME                     ENDPOINTS                                                AGE
trisla-bc-nssmf          10.233.102.158:8083                                      14m
trisla-besu              10.233.75.23:30303,10.233.75.23:8546,10.233.75.23:8545   14m
trisla-decision-engine   10.233.102.137:8082                                      14m
trisla-ml-nsmf           10.233.102.184:8081                                      14m
trisla-nasp-adapter      10.233.102.129:8085                                      14m
trisla-sem-csmf          <none>                                                   14m
trisla-sla-agent-layer   10.233.102.148:8084                                      14m
trisla-trisla-besu                                                                14m
trisla-ui-dashboard      10.233.102.152:80                                        14m
