LAST SEEN   TYPE      REASON                            OBJECT                                          MESSAGE
14m         Normal    Created                           pod/trisla-nasp-adapter-74cd854849-p5p2x        Created container nasp-adapter
14m         Normal    Pulled                            pod/trisla-nasp-adapter-74cd854849-p5p2x        Container image "ghcr.io/abelisboa/trisla-nasp-adapter:nasp-a2" already present on machine
72s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-sla-agent-layer-6b65566595-l8ffv     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
14m         Normal    AddedInterface                    pod/trisla-nasp-adapter-74cd854849-p5p2x        Add eth0 [10.233.102.129/32] from k8s-pod-network
79s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-7d466f9f69-g89tc     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
14m         Normal    AddedInterface                    pod/trisla-decision-engine-7d466f9f69-g89tc     Add eth0 [10.233.102.137/32] from k8s-pod-network
14m         Normal    Started                           pod/trisla-nasp-adapter-74cd854849-p5p2x        Started container nasp-adapter
46s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-nasp-adapter-74cd854849-p5p2x        Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
14m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                       Scaled up replica set trisla-ml-nsmf-779d6cc88b to 1
17m         Normal    AddedInterface                    pod/trisla-besu-5548f6498d-vdjnj                Add eth0 [10.233.75.23/32] from k8s-pod-network
14m         Normal    ScalingReplicaSet                 deployment/trisla-bc-nssmf                      Scaled up replica set trisla-bc-nssmf-866ddbf476 to 1
72s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-866ddbf476-pvc2p            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
14m         Normal    Started                           pod/trisla-ui-dashboard-dfb9ff9cc-55m9n         Started container ui-dashboard
14m         Normal    Created                           pod/trisla-ui-dashboard-dfb9ff9cc-55m9n         Created container ui-dashboard
14m         Normal    Pulled                            pod/trisla-ui-dashboard-dfb9ff9cc-55m9n         Container image "ghcr.io/abelisboa/trisla-ui-dashboard:nasp-a2" already present on machine
14m         Normal    Created                           pod/trisla-ml-nsmf-779d6cc88b-jr8sq             Created container ml-nsmf
26s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-779d6cc88b-jr8sq             Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
14m         Normal    Pulling                           pod/trisla-bc-nssmf-866ddbf476-pvc2p            Pulling image "ghcr.io/abelisboa/trisla-bc-nssmf:v3.7.18"
14m         Normal    AddedInterface                    pod/trisla-bc-nssmf-866ddbf476-pvc2p            Add eth0 [10.233.102.158/32] from k8s-pod-network
14m         Normal    Started                           pod/trisla-decision-engine-7d466f9f69-g89tc     Started container decision-engine
14m         Normal    Created                           pod/trisla-decision-engine-7d466f9f69-g89tc     Created container decision-engine
14m         Normal    Pulled                            pod/trisla-decision-engine-7d466f9f69-g89tc     Container image "ghcr.io/abelisboa/trisla-decision-engine:nasp-a2" already present on machine
23s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ui-dashboard-dfb9ff9cc-55m9n         Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
14m         Normal    Started                           pod/trisla-sla-agent-layer-6b65566595-l8ffv     Started container sla-agent-layer
14m         Normal    Pulled                            pod/trisla-bc-nssmf-866ddbf476-pvc2p            Successfully pulled image "ghcr.io/abelisboa/trisla-bc-nssmf:v3.7.18" in 516ms (516ms including waiting). Image size: 175350530 bytes.
14m         Normal    Created                           pod/trisla-bc-nssmf-866ddbf476-pvc2p            Created container bc-nssmf
14m         Normal    Started                           pod/trisla-bc-nssmf-866ddbf476-pvc2p            Started container bc-nssmf
14m         Normal    Created                           pod/trisla-sla-agent-layer-6b65566595-l8ffv     Created container sla-agent-layer
14m         Normal    Pulled                            pod/trisla-sla-agent-layer-6b65566595-l8ffv     Container image "ghcr.io/abelisboa/trisla-sla-agent-layer:nasp-a2" already present on machine
