NAME                                      READY   STATUS             RESTARTS   AGE   IP               NODE    NOMINATED NODE   READINESS GATES
trisla-bc-nssmf-866ddbf476-pvc2p          1/1     Running            0          14m   10.233.102.158   node1   <none>           <none>
trisla-besu-5548f6498d-vdjnj              1/1     Running            0          14m   10.233.75.23     node2   <none>           <none>
trisla-decision-engine-7d466f9f69-g89tc   1/1     Running            0          14m   10.233.102.137   node1   <none>           <none>
trisla-ml-nsmf-779d6cc88b-jr8sq           1/1     Running            0          14m   10.233.102.184   node1   <none>           <none>
trisla-nasp-adapter-74cd854849-p5p2x      1/1     Running            0          14m   10.233.102.129   node1   <none>           <none>
trisla-sla-agent-layer-6b65566595-l8ffv   1/1     Running            0          14m   10.233.102.148   node1   <none>           <none>
trisla-trisla-besu-979b7df9d-br55t        0/1     ImagePullBackOff   0          14m   10.233.75.57     node2   <none>           <none>
trisla-ui-dashboard-dfb9ff9cc-55m9n       1/1     Running            0          14m   10.233.102.152   node1   <none>           <none>
