LAST SEEN   TYPE      REASON                            OBJECT                                         MESSAGE
8m45s       Normal    SuccessfulCreate                  replicaset/trisla-nasp-adapter-74cd854849      Created pod: trisla-nasp-adapter-74cd854849-4tmwv
8m45s       Normal    ScalingReplicaSet                 deployment/trisla-nasp-adapter                 Scaled up replica set trisla-nasp-adapter-74cd854849 to 1
8m45s       Normal    Scheduled                         pod/trisla-sla-agent-layer-6b65566595-b45hh    Successfully assigned trisla/trisla-sla-agent-layer-6b65566595-b45hh to node1
24s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-sla-agent-layer-6b65566595-b45hh    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
8m44s       Normal    AddedInterface                    pod/trisla-sla-agent-layer-6b65566595-b45hh    Add eth0 [10.233.102.137/32] from k8s-pod-network
8m44s       Normal    Pulled                            pod/trisla-sla-agent-layer-6b65566595-b45hh    Container image "ghcr.io/abelisboa/trisla-sla-agent-layer:nasp-a2" already present on machine
8m44s       Normal    Created                           pod/trisla-sla-agent-layer-6b65566595-b45hh    Created container sla-agent-layer
8m44s       Normal    Started                           pod/trisla-sla-agent-layer-6b65566595-b45hh    Started container sla-agent-layer
8m45s       Normal    SuccessfulCreate                  replicaset/trisla-sla-agent-layer-6b65566595   Created pod: trisla-sla-agent-layer-6b65566595-b45hh
8m45s       Normal    ScalingReplicaSet                 deployment/trisla-sla-agent-layer              Scaled up replica set trisla-sla-agent-layer-6b65566595 to 1
8m45s       Normal    Scheduled                         pod/trisla-ui-dashboard-dfb9ff9cc-jk4xb        Successfully assigned trisla/trisla-ui-dashboard-dfb9ff9cc-jk4xb to node1
57s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ui-dashboard-dfb9ff9cc-jk4xb        Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
8m44s       Normal    AddedInterface                    pod/trisla-ui-dashboard-dfb9ff9cc-jk4xb        Add eth0 [10.233.102.129/32] from k8s-pod-network
8m44s       Normal    Pulled                            pod/trisla-ui-dashboard-dfb9ff9cc-jk4xb        Container image "ghcr.io/abelisboa/trisla-ui-dashboard:nasp-a2" already present on machine
8m44s       Normal    Created                           pod/trisla-ui-dashboard-dfb9ff9cc-jk4xb        Created container ui-dashboard
8m44s       Normal    Started                           pod/trisla-ui-dashboard-dfb9ff9cc-jk4xb        Started container ui-dashboard
8m45s       Normal    SuccessfulCreate                  replicaset/trisla-ui-dashboard-dfb9ff9cc       Created pod: trisla-ui-dashboard-dfb9ff9cc-jk4xb
8m45s       Normal    ScalingReplicaSet                 deployment/trisla-ui-dashboard                 Scaled up replica set trisla-ui-dashboard-dfb9ff9cc to 1
