LAST SEEN   TYPE      REASON                  OBJECT                                          MESSAGE
12m         Normal    Scheduled               pod/trisla-ui-dashboard-dfb9ff9cc-mnt97         Successfully assigned trisla/trisla-ui-dashboard-dfb9ff9cc-mnt97 to node1
12m         Normal    SuccessfulCreate        replicaset/trisla-sem-csmf-f4d8697d             Created pod: trisla-sem-csmf-f4d8697d-n4nz9
12m         Normal    ScalingReplicaSet       deployment/trisla-sem-csmf                      Scaled up replica set trisla-sem-csmf-f4d8697d to 1
12m         Normal    Scheduled               pod/trisla-sla-agent-layer-6b65566595-5sq26     Successfully assigned trisla/trisla-sla-agent-layer-6b65566595-5sq26 to node1
12m         Normal    AddedInterface          pod/trisla-decision-engine-7d466f9f69-s5tsl     Add eth0 [10.233.102.182/32] from k8s-pod-network
12m         Normal    Pulled                  pod/trisla-decision-engine-7d466f9f69-s5tsl     Container image "ghcr.io/abelisboa/trisla-decision-engine:nasp-a2" already present on machine
12m         Normal    AddedInterface          pod/trisla-bc-nssmf-95bbff56c-dk429             Add eth0 [10.233.102.184/32] from k8s-pod-network
12m         Normal    Pulled                  pod/trisla-bc-nssmf-95bbff56c-dk429             Container image "ghcr.io/abelisboa/trisla-bc-nssmf:v3.7.11" already present on machine
12m         Normal    SuccessfulCreate        replicaset/trisla-sla-agent-layer-6b65566595    Created pod: trisla-sla-agent-layer-6b65566595-5sq26
12m         Normal    ScalingReplicaSet       deployment/trisla-sla-agent-layer               Scaled up replica set trisla-sla-agent-layer-6b65566595 to 1
12m         Normal    Created                 pod/trisla-decision-engine-7d466f9f69-s5tsl     Created container decision-engine
12m         Normal    Scheduled               pod/trisla-ml-nsmf-874f9447f-69bnd              Successfully assigned trisla/trisla-ml-nsmf-874f9447f-69bnd to node1
12m         Normal    Created                 pod/trisla-bc-nssmf-95bbff56c-dk429             Created container bc-nssmf
12m         Normal    Started                 pod/trisla-bc-nssmf-95bbff56c-dk429             Started container bc-nssmf
12m         Normal    AddedInterface          pod/trisla-ui-dashboard-dfb9ff9cc-mnt97         Add eth0 [10.233.102.170/32] from k8s-pod-network
12m         Normal    Pulled                  pod/trisla-ui-dashboard-dfb9ff9cc-mnt97         Container image "ghcr.io/abelisboa/trisla-ui-dashboard:nasp-a2" already present on machine
12m         Normal    Started                 pod/trisla-ml-nsmf-874f9447f-69bnd              Started container ml-nsmf
12m         Normal    Pulled                  pod/trisla-sem-csmf-f4d8697d-n4nz9              Container image "ghcr.io/abelisboa/trisla-sem-csmf:nasp-a2" already present on machine
12m         Normal    Started                 pod/trisla-sla-agent-layer-6b65566595-5sq26     Started container sla-agent-layer
12m         Normal    Created                 pod/trisla-sla-agent-layer-6b65566595-5sq26     Created container sla-agent-layer
12m         Normal    Created                 pod/trisla-sem-csmf-f4d8697d-n4nz9              Created container sem-csmf
12m         Normal    Started                 pod/trisla-sem-csmf-f4d8697d-n4nz9              Started container sem-csmf
12m         Normal    Pulled                  pod/trisla-sla-agent-layer-6b65566595-5sq26     Container image "ghcr.io/abelisboa/trisla-sla-agent-layer:nasp-a2" already present on machine
12m         Normal    Started                 pod/trisla-ui-dashboard-dfb9ff9cc-mnt97         Started container ui-dashboard
12m         Normal    AddedInterface          pod/trisla-sla-agent-layer-6b65566595-5sq26     Add eth0 [10.233.102.137/32] from k8s-pod-network
12m         Normal    Created                 pod/trisla-ui-dashboard-dfb9ff9cc-mnt97         Created container ui-dashboard
12m         Warning   Unhealthy               pod/trisla-decision-engine-7d466f9f69-s5tsl     Readiness probe failed: Get "http://10.233.102.182:8082/health": dial tcp 10.233.102.182:8082: connect: connection refused
4m59s       Warning   BackOff                 pod/trisla-besu-6d674f5fcb-bz8t7                Back-off restarting failed container besu in pod trisla-besu-6d674f5fcb-bz8t7_trisla(2c193dfd-0384-4bab-adf6-48fe2a741427)
4m54s       Normal    BackOff                 pod/trisla-trisla-besu-979b7df9d-ck2q8          Back-off pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
