NAME                     TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                       AGE
trisla-bc-nssmf          ClusterIP   10.233.29.24    <none>        8083/TCP                      12m
trisla-besu              ClusterIP   10.233.63.133   <none>        8545/TCP,8546/TCP,30303/TCP   12m
trisla-decision-engine   ClusterIP   10.233.13.218   <none>        8082/TCP                      12m
trisla-ml-nsmf           ClusterIP   10.233.59.209   <none>        8081/TCP                      12m
trisla-nasp-adapter      ClusterIP   10.233.57.190   <none>        8085/TCP                      12m
trisla-sem-csmf          ClusterIP   10.233.33.51    <none>        8080/TCP                      12m
trisla-sla-agent-layer   ClusterIP   10.233.25.60    <none>        8084/TCP                      12m
trisla-trisla-besu       ClusterIP   10.233.33.101   <none>        8545/TCP,8546/TCP,30303/TCP   12m
trisla-ui-dashboard      ClusterIP   10.233.59.88    <none>        80/TCP                        12m
