LAST SEEN   TYPE      REASON                  OBJECT                                          MESSAGE
14m         Normal    ProvisioningSucceeded   persistentvolumeclaim/trisla-trisla-besu-data   Successfully provisioned volume pvc-a4720dce-f713-4dfe-9851-14c307785afe
14m         Normal    Provisioning            persistentvolumeclaim/trisla-trisla-besu-data   External provisioner is provisioning volume for claim "trisla/trisla-trisla-besu-data"
14m         Normal    ProvisioningSucceeded   persistentvolumeclaim/trisla-besu-data          Successfully provisioned volume pvc-942446ee-e337-4a9a-81b2-e335419ab331
14m         Normal    Provisioning            persistentvolumeclaim/trisla-besu-data          External provisioner is provisioning volume for claim "trisla/trisla-besu-data"
14m         Normal    AddedInterface          pod/trisla-besu-8c4979c76-r8m8z                 Add eth0 [10.233.75.5/32] from k8s-pod-network
14m         Normal    AddedInterface          pod/trisla-trisla-besu-979b7df9d-zcjdb          Add eth0 [10.233.75.17/32] from k8s-pod-network
14m         Normal    Started                 pod/trisla-besu-8c4979c76-r8m8z                 Started container besu
14m         Normal    Created                 pod/trisla-besu-8c4979c76-r8m8z                 Created container besu
14m         Normal    Pulled                  pod/trisla-besu-8c4979c76-r8m8z                 Container image "ghcr.io/abelisboa/trisla-besu:v3.7.16" already present on machine
13m         Normal    Pulling                 pod/trisla-trisla-besu-979b7df9d-zcjdb          Pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
13m         Warning   Failed                  pod/trisla-trisla-besu-979b7df9d-zcjdb          Failed to pull image "ghcr.io/abelisboa/trisla-besu:23.10.1": rpc error: code = NotFound desc = failed to pull and unpack image "ghcr.io/abelisboa/trisla-besu:23.10.1": failed to resolve reference "ghcr.io/abelisboa/trisla-besu:23.10.1": ghcr.io/abelisboa/trisla-besu:23.10.1: not found
13m         Warning   Failed                  pod/trisla-trisla-besu-979b7df9d-zcjdb          Error: ErrImagePull
12m         Warning   Failed                  pod/trisla-trisla-besu-979b7df9d-zcjdb          Error: ImagePullBackOff
11m         Normal    ScalingReplicaSet       deployment/trisla-nasp-adapter                  Scaled up replica set trisla-nasp-adapter-74cd854849 to 1
11m         Normal    AddedInterface          pod/trisla-nasp-adapter-74cd854849-fh4b4        Add eth0 [10.233.102.152/32] from k8s-pod-network
11m         Normal    ScalingReplicaSet       deployment/trisla-ui-dashboard                  Scaled up replica set trisla-ui-dashboard-dfb9ff9cc to 1
11m         Normal    SuccessfulCreate        replicaset/trisla-ui-dashboard-dfb9ff9cc        Created pod: trisla-ui-dashboard-dfb9ff9cc-d5mkq
11m         Normal    ExternalProvisioning    persistentvolumeclaim/trisla-besu-data          Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
11m         Normal    ScalingReplicaSet       deployment/trisla-besu                          Scaled up replica set trisla-besu-8c4979c76 to 1
11m         Normal    Scheduled               pod/trisla-decision-engine-7d466f9f69-2lhsh     Successfully assigned trisla/trisla-decision-engine-7d466f9f69-2lhsh to node1
11m         Normal    Scheduled               pod/trisla-sla-agent-layer-6b65566595-zf52w     Successfully assigned trisla/trisla-sla-agent-layer-6b65566595-zf52w to node1
11m         Normal    Scheduled               pod/trisla-ui-dashboard-dfb9ff9cc-d5mkq         Successfully assigned trisla/trisla-ui-dashboard-dfb9ff9cc-d5mkq to node1
11m         Normal    ScalingReplicaSet       deployment/trisla-trisla-besu                   Scaled up replica set trisla-trisla-besu-979b7df9d to 1
11m         Normal    ExternalProvisioning    persistentvolumeclaim/trisla-trisla-besu-data   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
11m         Normal    SuccessfulCreate        replicaset/trisla-decision-engine-7d466f9f69    Created pod: trisla-decision-engine-7d466f9f69-2lhsh
11m         Normal    ScalingReplicaSet       deployment/trisla-decision-engine               Scaled up replica set trisla-decision-engine-7d466f9f69 to 1
11m         Normal    Scheduled               pod/trisla-ml-nsmf-779d6cc88b-jgzf2             Successfully assigned trisla/trisla-ml-nsmf-779d6cc88b-jgzf2 to node1
11m         Normal    AddedInterface          pod/trisla-ml-nsmf-779d6cc88b-jgzf2             Add eth0 [10.233.102.170/32] from k8s-pod-network
11m         Normal    AddedInterface          pod/trisla-bc-nssmf-cb869b895-fprss             Add eth0 [10.233.102.129/32] from k8s-pod-network
11m         Normal    SuccessfulCreate        replicaset/trisla-trisla-besu-979b7df9d         Created pod: trisla-trisla-besu-979b7df9d-zcjdb
11m         Normal    Scheduled               pod/trisla-trisla-besu-979b7df9d-zcjdb          Successfully assigned trisla/trisla-trisla-besu-979b7df9d-zcjdb to node2
11m         Normal    SuccessfulCreate        replicaset/trisla-ml-nsmf-779d6cc88b            Created pod: trisla-ml-nsmf-779d6cc88b-jgzf2
11m         Normal    ScalingReplicaSet       deployment/trisla-ml-nsmf                       Scaled up replica set trisla-ml-nsmf-779d6cc88b to 1
11m         Normal    Scheduled               pod/trisla-nasp-adapter-74cd854849-fh4b4        Successfully assigned trisla/trisla-nasp-adapter-74cd854849-fh4b4 to node1
11m         Normal    SuccessfulCreate        replicaset/trisla-bc-nssmf-cb869b895            Created pod: trisla-bc-nssmf-cb869b895-fprss
11m         Normal    Pulled                  pod/trisla-nasp-adapter-74cd854849-fh4b4        Container image "ghcr.io/abelisboa/trisla-nasp-adapter:nasp-a2" already present on machine
11m         Normal    Created                 pod/trisla-nasp-adapter-74cd854849-fh4b4        Created container nasp-adapter
11m         Normal    Scheduled               pod/trisla-besu-8c4979c76-r8m8z                 Successfully assigned trisla/trisla-besu-8c4979c76-r8m8z to node2
11m         Normal    SuccessfulCreate        replicaset/trisla-nasp-adapter-74cd854849       Created pod: trisla-nasp-adapter-74cd854849-fh4b4
11m         Normal    SuccessfulCreate        replicaset/trisla-besu-8c4979c76                Created pod: trisla-besu-8c4979c76-r8m8z
11m         Normal    Scheduled               pod/trisla-bc-nssmf-cb869b895-fprss             Successfully assigned trisla/trisla-bc-nssmf-cb869b895-fprss to node1
11m         Normal    ScalingReplicaSet       deployment/trisla-bc-nssmf                      Scaled up replica set trisla-bc-nssmf-cb869b895 to 1
11m         Normal    ScalingReplicaSet       deployment/trisla-sla-agent-layer               Scaled up replica set trisla-sla-agent-layer-6b65566595 to 1
11m         Normal    SuccessfulCreate        replicaset/trisla-sla-agent-layer-6b65566595    Created pod: trisla-sla-agent-layer-6b65566595-zf52w
11m         Normal    Pulled                  pod/trisla-decision-engine-7d466f9f69-2lhsh     Container image "ghcr.io/abelisboa/trisla-decision-engine:nasp-a2" already present on machine
11m         Normal    Created                 pod/trisla-ml-nsmf-779d6cc88b-jgzf2             Created container ml-nsmf
11m         Normal    Pulled                  pod/trisla-sla-agent-layer-6b65566595-zf52w     Container image "ghcr.io/abelisboa/trisla-sla-agent-layer:nasp-a2" already present on machine
11m         Normal    Started                 pod/trisla-ui-dashboard-dfb9ff9cc-d5mkq         Started container ui-dashboard
