NAME                                      READY   STATUS             RESTARTS   AGE   IP               NODE    NOMINATED NODE   READINESS GATES
trisla-bc-nssmf-cb869b895-fprss           0/1     ImagePullBackOff   0          11m   10.233.102.129   node1   <none>           <none>
trisla-besu-8c4979c76-r8m8z               1/1     Running            0          11m   10.233.75.5      node2   <none>           <none>
trisla-decision-engine-7d466f9f69-2lhsh   1/1     Running            0          11m   10.233.102.165   node1   <none>           <none>
trisla-ml-nsmf-779d6cc88b-jgzf2           1/1     Running            0          11m   10.233.102.170   node1   <none>           <none>
trisla-nasp-adapter-74cd854849-fh4b4      1/1     Running            0          11m   10.233.102.152   node1   <none>           <none>
trisla-sla-agent-layer-6b65566595-zf52w   1/1     Running            0          11m   10.233.102.130   node1   <none>           <none>
trisla-trisla-besu-979b7df9d-zcjdb        0/1     ImagePullBackOff   0          11m   10.233.75.17     node2   <none>           <none>
trisla-ui-dashboard-dfb9ff9cc-d5mkq       1/1     Running            0          11m   10.233.102.182   node1   <none>           <none>
